time,covered,cov-ratio
0.10,43,3.87%
29.31,44,3.96%
383.20,45,4.05%
515.97,48,4.32%
594.47,49,4.41%
661.43,51,4.59%
1207.68,92,8.28%
1584.62,95,8.55%
1891.11,98,8.82%
1929.08,148,13.32%
1969.96,150,13.50%
2056.56,176,15.84%
2118.21,182,16.38%
2328.91,188,16.92%
2408.83,189,17.01%
2469.54,193,17.37%
2487.14,235,21.15%
2529.07,237,21.33%
2636.78,241,21.69%
2909.90,259,23.31%
2978.47,290,26.10%
3016.26,291,26.19%
3039.13,296,26.64%
3070.98,297,26.73%
3083.89,302,27.18%
3162.47,303,27.27%
3221.84,306,27.54%
3222.16,307,27.63%
3484.39,308,27.72%
3509.55,310,27.90%
3512.83,315,28.35%
3516.28,316,28.44%
3517.78,317,28.53%
3520.28,325,29.25%
3531.98,329,29.61%
3540.14,330,29.70%
3550.15,335,30.15%
3561.60,337,30.33%
3595.17,339,30.51%
3623.17,377,33.93%
3652.08,379,34.11%
3652.91,380,34.20%
3686.82,382,34.38%
3747.79,384,34.56%
3888.80,385,34.65%
3897.52,386,34.74%
3982.89,387,34.83%
4111.32,388,34.92%
4112.92,392,35.28%
4243.80,393,35.37%
4290.46,394,35.46%
4404.47,395,35.55%
4428.73,396,35.64%
4435.22,401,36.09%
4551.33,402,36.18%
4566.67,408,36.72%
4576.31,409,36.81%
4634.88,411,36.99%
4645.29,412,37.08%
4675.35,414,37.26%
4768.10,415,37.35%
4926.83,417,37.53%
5079.96,428,38.52%
5244.91,429,38.61%
5764.60,430,38.70%
5872.81,433,38.97%
6111.70,436,39.24%
6516.97,437,39.33%
6534.86,444,39.96%
8402.02,445,40.05%
8599.05,446,40.14%
9560.35,448,40.32%
12011.69,449,40.41%
13485.21,450,40.50%
15863.71,451,40.59%
25091.61,453,40.77%
33548.63,457,41.13%
33743.07,458,41.22%
48260.07,459,41.31%
57191.32,461,41.49%
